Loaded 384 pairs from gcj_crosslang_clones/pairs.csv × 5 round(s) = 1920 total (0 already done, 1920 remaining)
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:05<00:15,  5.28s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:10<00:10,  5.44s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:16<00:05,  5.55s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:20<00:00,  5.11s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:20<00:00,  5.24s/it]
Model 'deepseek' loaded. Starting inference...
--- Round 1/5 (0 done, 384 remaining) ---
The `seen_tokens` attribute is deprecated and will be removed in v4.41. Use the `cache_position` model input instead.
[1/1920] 2026-07-05 17:40:10 | R1 | 2013_0_1/103399 vs 2013_0_1/99825 → CLONE
[2/1920] 2026-07-05 17:40:15 | R1 | 2013_0_1/99825 vs 2013_0_1/125888 → CLONE
[3/1920] 2026-07-05 17:40:21 | R1 | 2013_0_1/125888 vs 2013_0_1/84842 → CLONE
[4/1920] 2026-07-05 17:40:28 | R1 | 2013_0_1/84842 vs 2013_0_1/103399 → CLONE
[5/1920] 2026-07-05 17:40:35 | R1 | 2013_0_1/49244 vs 2013_0_1/98087 → CLONE
[6/1920] 2026-07-05 17:40:40 | R1 | 2013_0_1/98087 vs 2013_0_1/91336 → CLONE
[7/1920] 2026-07-05 17:40:45 | R1 | 2013_0_1/91336 vs 2013_0_1/102913 → CLONE
[8/1920] 2026-07-05 17:40:50 | R1 | 2013_0_1/102913 vs 2013_0_1/49244 → CLONE
[9/1920] 2026-07-05 17:40:55 | R1 | 2013_0_1/126886 vs 2013_0_1/72071 → CLONE
[10/1920] 2026-07-05 17:41:01 | R1 | 2013_0_1/72071 vs 2013_0_1/70537 → CLONE
[11/1920] 2026-07-05 17:41:07 | R1 | 2013_0_1/70537 vs 2013_0_1/127485 → CLONE
[12/1920] 2026-07-05 17:41:12 | R1 | 2013_0_1/127485 vs 2013_0_1/126886 → CLONE
[13/1920] 2026-07-05 17:41:18 | R1 | 2013_0_2/95524 vs 2013_0_2/83774 → CLONE
[14/1920] 2026-07-05 17:41:23 | R1 | 2013_0_2/83774 vs 2013_0_2/78034 → CLONE
[15/1920] 2026-07-05 17:41:27 | R1 | 2013_0_2/78034 vs 2013_0_2/71957 → CLONE
[16/1920] 2026-07-05 17:41:32 | R1 | 2013_0_2/71957 vs 2013_0_2/95524 → CLONE
[17/1920] 2026-07-05 17:41:37 | R1 | 2013_0_2/44471 vs 2013_0_2/140779 → CLONE
[18/1920] 2026-07-05 17:41:43 | R1 | 2013_0_2/140779 vs 2013_0_2/122219 → CLONE
[19/1920] 2026-07-05 17:41:49 | R1 | 2013_0_2/122219 vs 2013_0_2/96711 → CLONE
[20/1920] 2026-07-05 17:41:55 | R1 | 2013_0_2/96711 vs 2013_0_2/44471 → CLONE
[21/1920] 2026-07-05 17:42:01 | R1 | 2013_0_2/55421 vs 2013_0_2/91409 → CLONE
[22/1920] 2026-07-05 17:42:06 | R1 | 2013_0_2/91409 vs 2013_0_2/85165 → CLONE
[23/1920] 2026-07-05 17:42:12 | R1 | 2013_0_2/85165 vs 2013_0_2/68303 → CLONE
[24/1920] 2026-07-05 17:42:17 | R1 | 2013_0_2/68303 vs 2013_0_2/55421 → CLONE
[25/1920] 2026-07-05 17:42:25 | R1 | 2013_0_3/108834 vs 2013_0_3/102625 → CLONE
[26/1920] 2026-07-05 17:42:30 | R1 | 2013_0_3/102625 vs 2013_0_3/102207 → CLONE
[27/1920] 2026-07-05 17:42:34 | R1 | 2013_0_3/102207 vs 2013_0_3/89287 → CLONE
[28/1920] 2026-07-05 17:42:40 | R1 | 2013_0_3/89287 vs 2013_0_3/108834 → CLONE
