Loaded 100 files → 10000 pairs × 5 round(s) = 50000 total (21438 already done, 28562 remaining)
/home/chaiyong.rag/quantization-clone-study/gguf/lib/python3.10/site-packages/huggingface_hub/utils/_validators.py:205: UserWarning: The `local_dir_use_symlinks` argument is deprecated and ignored in `hf_hub_download`. Downloading to a local directory does not use symlinks anymore.
  warnings.warn(
llama_context: n_ctx_seq (8192) < n_ctx_train (131072) -- the full capacity of the model will not be utilized
Model 'gguf' loaded. Starting inference...
--- Round 1/5: already complete, skipping ---
--- Round 2/5: already complete, skipping ---
--- Round 3/5 (1438 done, 8562 remaining) ---
[21439/50000] 2026-06-23 05:53:20 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs guessword/test_1_artifice_pg_krakatau → NON-CLONE
[21440/50000] 2026-06-23 05:53:22 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs guessword/test_1_artifice_pg_procyon → NON-CLONE
[21441/50000] 2026-06-23 05:53:24 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs hanoi/0_orig → NON-CLONE
[21442/50000] 2026-06-23 05:53:26 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs hanoi/1_artifice → NON-CLONE
[21443/50000] 2026-06-23 05:53:28 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs hanoi/test_0_orig_no_krakatau → NON-CLONE
[21444/50000] 2026-06-23 05:53:29 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs hanoi/test_0_orig_no_procyon → NON-CLONE
[21445/50000] 2026-06-23 05:53:31 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs hanoi/test_0_orig_pg_krakatau → NON-CLONE
[21446/50000] 2026-06-23 05:53:32 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs hanoi/test_0_orig_pg_procyon → NON-CLONE
[21447/50000] 2026-06-23 05:53:34 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs hanoi/test_1_artifice_no_krakatau → NON-CLONE
[21448/50000] 2026-06-23 05:53:35 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs hanoi/test_1_artifice_no_procyon → NON-CLONE
[21449/50000] 2026-06-23 05:53:37 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs hanoi/test_1_artifice_pg_krakatau → NON-CLONE
[21450/50000] 2026-06-23 05:53:39 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs hanoi/test_1_artifice_pg_procyon → NON-CLONE
[21451/50000] 2026-06-23 05:53:41 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs kaprekar/0_orig → NON-CLONE
[21452/50000] 2026-06-23 05:53:42 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs kaprekar/1_artifice → NON-CLONE
[21453/50000] 2026-06-23 05:53:44 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs kaprekar/test_0_orig_no_krakatau → NON-CLONE
[21454/50000] 2026-06-23 05:53:46 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs kaprekar/test_0_orig_no_procyon → NON-CLONE
[21455/50000] 2026-06-23 05:53:47 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs kaprekar/test_0_orig_pg_krakatau → NON-CLONE
[21456/50000] 2026-06-23 05:53:49 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs kaprekar/test_0_orig_pg_procyon → NON-CLONE
[21457/50000] 2026-06-23 05:53:50 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs kaprekar/test_1_artifice_no_krakatau → NON-CLONE
[21458/50000] 2026-06-23 05:53:52 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs kaprekar/test_1_artifice_no_procyon → NON-CLONE
[21459/50000] 2026-06-23 05:53:53 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs kaprekar/test_1_artifice_pg_krakatau → NON-CLONE
[21460/50000] 2026-06-23 05:53:55 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs kaprekar/test_1_artifice_pg_procyon → NON-CLONE
[21461/50000] 2026-06-23 05:53:56 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs queens/0_orig → NON-CLONE
[21462/50000] 2026-06-23 05:53:58 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs queens/1_artifice → NON-CLONE
[21463/50000] 2026-06-23 05:54:00 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs queens/test_0_orig_no_krakatau → NON-CLONE
[21464/50000] 2026-06-23 05:54:01 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs queens/test_0_orig_no_procyon → NON-CLONE
[21465/50000] 2026-06-23 05:54:03 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs queens/test_0_orig_pg_krakatau → NON-CLONE
[21466/50000] 2026-06-23 05:54:05 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs queens/test_0_orig_pg_procyon → NON-CLONE
[21467/50000] 2026-06-23 05:54:06 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs queens/test_1_artifice_no_krakatau → NON-CLONE
[21468/50000] 2026-06-23 05:54:08 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs queens/test_1_artifice_no_procyon → NON-CLONE
[21469/50000] 2026-06-23 05:54:10 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs queens/test_1_artifice_pg_krakatau → NON-CLONE
[21470/50000] 2026-06-23 05:54:12 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs queens/test_1_artifice_pg_procyon → NON-CLONE
[21471/50000] 2026-06-23 05:54:14 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs railroadcar/0_orig → NON-CLONE
