Loaded 100 files → 10000 pairs × 5 round(s) = 50000 total (10000 already done, 40000 remaining)
/home/chaiyong.rag/quantization-clone-study/gguf/lib/python3.10/site-packages/huggingface_hub/utils/_validators.py:205: UserWarning: The `local_dir_use_symlinks` argument is deprecated and ignored in `hf_hub_download`. Downloading to a local directory does not use symlinks anymore.
  warnings.warn(
llama_context: n_ctx_seq (8192) < n_ctx_train (131072) -- the full capacity of the model will not be utilized
Model 'qwen' loaded. Starting inference...
--- Round 1/5: already complete, skipping ---
--- Round 2/5 (0 done, 10000 remaining) ---
[10001/50000] 2026-06-26 08:32:39 | R2 | InfixConverter/0_orig vs InfixConverter/0_orig → CLONE
[10002/50000] 2026-06-26 08:32:40 | R2 | InfixConverter/0_orig vs InfixConverter/1_artifice → CLONE
[10003/50000] 2026-06-26 08:32:42 | R2 | InfixConverter/0_orig vs InfixConverter/test_0_orig_no_krakatau → CLONE
[10004/50000] 2026-06-26 08:32:43 | R2 | InfixConverter/0_orig vs InfixConverter/test_0_orig_no_procyon → CLONE
[10005/50000] 2026-06-26 08:32:45 | R2 | InfixConverter/0_orig vs InfixConverter/test_0_orig_pg_krakatau → CLONE
[10006/50000] 2026-06-26 08:32:46 | R2 | InfixConverter/0_orig vs InfixConverter/test_0_orig_pg_procyon → CLONE
[10007/50000] 2026-06-26 08:32:48 | R2 | InfixConverter/0_orig vs InfixConverter/test_1_artifice_no_krakatau → CLONE
[10008/50000] 2026-06-26 08:32:49 | R2 | InfixConverter/0_orig vs InfixConverter/test_1_artifice_no_procyon → CLONE
[10009/50000] 2026-06-26 08:32:51 | R2 | InfixConverter/0_orig vs InfixConverter/test_1_artifice_pg_krakatau → CLONE
[10010/50000] 2026-06-26 08:32:52 | R2 | InfixConverter/0_orig vs InfixConverter/test_1_artifice_pg_procyon → CLONE
[10011/50000] 2026-06-26 08:32:54 | R2 | InfixConverter/0_orig vs SqrtAlgorithm/0_orig → NON-CLONE
[10012/50000] 2026-06-26 08:32:55 | R2 | InfixConverter/0_orig vs SqrtAlgorithm/1_artifice → NON-CLONE
[10013/50000] 2026-06-26 08:32:57 | R2 | InfixConverter/0_orig vs SqrtAlgorithm/test_0_orig_no_krakatau → NON-CLONE
[10014/50000] 2026-06-26 08:32:58 | R2 | InfixConverter/0_orig vs SqrtAlgorithm/test_0_orig_no_procyon → NON-CLONE
[10015/50000] 2026-06-26 08:33:00 | R2 | InfixConverter/0_orig vs SqrtAlgorithm/test_0_orig_pg_krakatau → NON-CLONE
[10016/50000] 2026-06-26 08:33:02 | R2 | InfixConverter/0_orig vs SqrtAlgorithm/test_0_orig_pg_procyon → NON-CLONE
