file,rows_total,rows_evaluated,rows_excluded,TP,FP,FN,TN,accuracy,precision,recall,f1,mcc,run_time
"results_QuantFactory__CodeLlama-7b-Instruct-hf-GGUF_CodeLlama-7b-Instruct-hf.Q2_K.gguf (majority vote, 5 rounds)",10000,10000,0,1000,9000,0,0,0.1,0.1,1.0,0.1818,0.0,12:32:49
"results_codellama__CodeLlama-7b-Instruct-hf (majority vote, 5 rounds)",10000,5731,4269,1000,4729,0,2,0.1748,0.1746,1.0,0.2972,0.0086,27:15:57
"results_gguf_QuantFactory__CodeLlama-7b-Instruct-hf-GGUF_CodeLlama-7b-Instruct-hf.Q3_K_M.gguf (majority vote, 5 rounds)",10000,7565,2435,1000,6563,0,2,0.1325,0.1322,1.0,0.2336,0.0063,02:38:35
"results_gguf_QuantFactory__CodeLlama-7b-Instruct-hf-GGUF_CodeLlama-7b-Instruct-hf.Q4_K_M.gguf (majority vote, 5 rounds)",10000,9582,418,1000,8393,0,189,0.1241,0.1065,1.0,0.1924,0.0484,02:46:59
"results_gguf_bartowski__Codestral-22B-v0.1-GGUF_Codestral-22B-v0.1-Q2_K.gguf (majority vote, 5 rounds)",10000,10000,0,1000,59,0,8941,0.9941,0.9443,1.0,0.9713,0.9686,06:04:29
"results_gguf_bartowski__Codestral-22B-v0.1-GGUF_Codestral-22B-v0.1-Q3_K_M.gguf (majority vote, 5 rounds)",10000,10000,0,1000,52,0,8948,0.9948,0.9506,1.0,0.9747,0.9722,11:46:12
"results_gguf_bartowski__Codestral-22B-v0.1-GGUF_Codestral-22B-v0.1-Q4_K_M.gguf (majority vote, 3 rounds)",10000,9991,9,999,68,1,8923,0.9931,0.9363,0.999,0.9666,0.9634,05:52:29
"results_original_mistralai__Codestral-22B-v0.1 (majority vote, 5 rounds)",10000,10000,0,998,56,2,8944,0.9942,0.9469,0.998,0.9718,0.9689,10:04:48
"results_deepseek_coder_v2_lite (majority vote, 5 rounds)",10000,10000,0,1000,307,0,8693,0.9693,0.7651,1.0,0.8669,0.8597,17:28:25
"results_deepseek_coder_v2_lite_q4km (majority vote, 5 rounds)",10000,10000,0,1000,712,0,8288,0.9288,0.5841,1.0,0.7375,0.7334,18:11:27
"results_gguf_llama4_scout_Q2_K (majority vote, 5 rounds)",10000,10000,0,1000,283,0,8717,0.9717,0.7794,1.0,0.876,0.8689,14:05:19
"results_gguf_llama4_scout_Q3_K_S (majority vote, 5 rounds)",10000,10000,0,1000,141,0,8859,0.9859,0.8764,1.0,0.9341,0.9288,14:05:02
"results_gguf_llama4_scout_Q4_K_M (majority vote, 5 rounds)",10000,10000,0,998,186,2,8814,0.9812,0.8429,0.998,0.9139,0.9075,13:52:04
"results_original_meta-llama__Llama-4-Scout-17B-16E-Instruct (majority vote, 5 rounds)",10000,10000,0,1000,205,0,8795,0.9795,0.8299,1.0,0.907,0.9005,69:01:07
"results_ISTA-DASLa__Meta-Llama-3.1-8B-Instruct-AQLM-PV-2Bit-1x16-hf (majority vote, 5 rounds)",10000,10000,0,1000,7295,0,1705,0.2705,0.1206,1.0,0.2152,0.1511,11:23:28
"results_gguf_bartowski__Meta-Llama-3.1-8B-Instruct-GGUF_Meta-Llama-3.1-8B-Instruct-Q2_K.gguf (majority vote, 5 rounds)",10000,9999,1,1000,7105,0,1894,0.2894,0.1234,1.0,0.2197,0.1611,07:52:34
"results_gguf_bartowski__Meta-Llama-3.1-8B-Instruct-GGUF_Meta-Llama-3.1-8B-Instruct-Q3_K_M.gguf (majority vote, 5 rounds)",10000,9425,575,1000,5263,0,3162,0.4416,0.1597,1.0,0.2754,0.2448,02:25:08
"results_gguf_bartowski__Meta-Llama-3.1-8B-Instruct-GGUF_Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf (majority vote, 5 rounds)",10000,9848,152,1000,3495,0,5353,0.6451,0.2225,1.0,0.364,0.3669,01:54:03
"results_higgs_llama3.1_8B_3bit (majority vote, 5 rounds)",10000,9439,561,1000,3337,0,5102,0.6465,0.2306,1.0,0.3747,0.3734,07:40:00
"results_higgs_llama3.1_8B_4bit (majority vote, 5 rounds)",10000,9734,266,1000,2387,0,6347,0.7548,0.2952,1.0,0.4559,0.4632,08:22:57
"results_original_meta-llama__Meta-Llama-3.1-8B-Instruct (majority vote, 5 rounds)",10000,9622,378,1000,2282,0,6340,0.7628,0.3047,1.0,0.4671,0.4733,06:42:00
"results_relaxml_Llama-3.1-8b-Instruct-QTIP-2Bit (majority vote, 5 rounds)",10000,8548,1452,1000,4378,0,3170,0.4878,0.1859,1.0,0.3136,0.2794,29:27:26
"results_relaxml_Llama-3.1-8b-Instruct-QTIP-3Bit (majority vote, 5 rounds)",10000,9543,457,1000,2501,0,6042,0.7379,0.2856,1.0,0.4443,0.4495,28:38:21
"results_relaxml_Llama-3.1-8b-Instruct-QTIP-4Bit (majority vote, 5 rounds)",10000,9686,314,1000,2136,0,6550,0.7795,0.3189,1.0,0.4836,0.4904,24:56:36
"results_qwen2.5_coder_7B_original (majority vote, 5 rounds)",10000,10000,0,997,0,3,9000,0.9997,1.0,0.997,0.9985,0.9983,09:53:10
"results_qwen2.5_coder_7B_q2k (majority vote, 5 rounds)",10000,9182,818,999,0,1,8182,0.9999,1.0,0.999,0.9995,0.9994,12:30:09
"results_qwen2.5_coder_7B_q3km (majority vote, 5 rounds)",10000,10000,0,996,0,4,9000,0.9996,1.0,0.996,0.998,0.9978,13:29:18
"results_qwen2.5_coder_7B_q4km (majority vote, 5 rounds)",10000,10000,0,996,0,4,9000,0.9996,1.0,0.996,0.998,0.9978,13:11:49
"results_qwen3_coder_30B_a3b_fp8 (majority vote, 5 rounds)",10000,10000,0,878,0,122,9000,0.9878,1.0,0.878,0.935,0.9307,02:30:35
"results_qwen3_coder_30B_a3b_fp8_q4km_gguf (majority vote, 5 rounds)",10000,9994,6,919,0,81,8994,0.9919,1.0,0.919,0.9578,0.9544,04:16:00
"results_gguf_Qwen3-Coder-30B-A3B-Instruct-Q2_K (majority vote, 2 rounds)",10000,10000,0,969,0,31,9000,0.9969,1.0,0.969,0.9843,0.9827,01:33:17
"results_qwen36_Qwen__Qwen3.6-27B (majority vote, 5 rounds)",10000,10000,0,926,0,74,9000,0.9926,1.0,0.926,0.9616,0.9584,21:09:57
"results_gguf_bartowski__aya-expanse-8b-GGUF_aya-expanse-8b-Q2_K.gguf (majority vote, 5 rounds)",10000,10000,0,1000,6069,0,2931,0.3931,0.1415,1.0,0.2479,0.2146,01:54:24
"results_gguf_bartowski__aya-expanse-8b-GGUF_aya-expanse-8b-Q3_K_M.gguf (majority vote, 5 rounds)",10000,10000,0,999,700,1,8300,0.9299,0.588,0.999,0.7403,0.7359,02:29:09
"results_gguf_bartowski__aya-expanse-8b-GGUF_aya-expanse-8b-Q4_K_M.gguf (majority vote, 5 rounds)",10000,10000,0,1000,1541,0,7459,0.8459,0.3935,1.0,0.5648,0.5711,01:42:10
"results_original_CohereLabs__aya-expanse-8b (majority vote, 5 rounds)",10000,10000,0,998,673,2,8327,0.9325,0.5972,0.998,0.7473,0.7424,03:37:47
"results_gguf_cortexso__cogito-v1_cogito-v1-preview-llama-8b-q2_k.gguf (majority vote, 5 rounds)",10000,9957,43,991,2287,9,6670,0.7694,0.3023,0.991,0.4633,0.4705,04:13:12
"results_gguf_cortexso__cogito-v1_cogito-v1-preview-llama-8b-q3_k_m.gguf (majority vote, 5 rounds)",10000,9851,149,1000,1742,0,7109,0.8232,0.3647,1.0,0.5345,0.5412,02:48:55
"results_gguf_cortexso__cogito-v1_cogito-v1-preview-llama-8b-q4_k_m.gguf (majority vote, 5 rounds)",10000,9993,7,1000,559,0,8434,0.9441,0.6414,1.0,0.7816,0.7756,04:43:48
